accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	sex	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMEA2724888	ERS533677			macrophage					This sample has been submitted by The Wellcome Trust Sanger Institute on 2014-08-27; Homo sapiens		2015-02-17				9606	Homo sapiens	Bobsc3__d30_37_infected_1_hIPSC_derived_macrophages-sc-2114647										
SAMEA3139808	ERS611772			macrophage					TA069		2015-12-31				9606	Homo sapiens	E-MTAB-3113:TA069										
SAMEA3139809	ERS611773			macrophage					TA070		2015-12-31				9606	Homo sapiens	E-MTAB-3113:TA070										
SAMEA3139810	ERS611774			macrophage					TA068		2015-12-31				9606	Homo sapiens	E-MTAB-3113:TA068										
SAMEA3139811	ERS611775			macrophage					ST000		2015-12-01				9606	Homo sapiens	E-MTAB-3114:ST000										
SAMEA3139812	ERS611776			macrophage					ST001		2015-12-01				9606	Homo sapiens	E-MTAB-3114:ST001										
SAMEA3139813	ERS611777			macrophage					TA065		2015-12-01				9606	Homo sapiens	E-MTAB-3114:TA065										
SAMEA3139814	ERS611778			macrophage					TA067		2015-12-01				9606	Homo sapiens	E-MTAB-3114:TA067										
SAMEA3139815	ERS611779			macrophage					ST002		2015-12-01				9606	Homo sapiens	E-MTAB-3114:ST002										
SAMEA3139816	ERS611780			macrophage					TA066		2015-12-01				9606	Homo sapiens	E-MTAB-3114:TA066										
SAMN01974913	SRS400660			macrophage					GSM1094365: M_MAC_Donor1		2013-05-05				9606	Homo sapiens	GSM1094365										
SAMN01974915	SRS400661			macrophage					GSM1094366: M_MAC_Donor2		2013-05-05				9606	Homo sapiens	GSM1094366										
SAMN01974917	SRS400662			macrophage					GSM1094367: I_MAC_Donor1		2013-05-05				9606	Homo sapiens	GSM1094367										
SAMN01974919	SRS400663			macrophage					GSM1094368: I_MAC_Donor2		2013-05-05				9606	Homo sapiens	GSM1094368										
SAMN02641256	SRS557374			Macrophage					FAIRE_seq_Macrophage-oxLDL_278		2015-04-10	female			9606	Homo sapiens	GSM1327355										
SAMN02641257	SRS557371			Macrophage					FAIRE-seq_Macrophage-control_280		2015-04-10	female			9606	Homo sapiens	GSM1327352										
SAMN02641258	SRS557375			Macrophage					FAIRE_seq_Macrophage-oxLDL_205		2015-04-10	male			9606	Homo sapiens	GSM1327356										
SAMN02641259	SRS557370			Macrophage					FAIRE-seq_Macrophage-control_279		2015-04-10	male			9606	Homo sapiens	GSM1327351										
SAMN02641260	SRS557373			Macrophage					FAIRE_seq_Macrophage-oxLDL_277		2015-04-10	male			9606	Homo sapiens	GSM1327354										
SAMN02641261	SRS557372			Macrophage					FAIRE-seq_Macrophage-control_207		2015-04-10	male			9606	Homo sapiens	GSM1327353										
SAMN02641262	SRS557377			Macrophage					H3K27ac_Macrophage-control_252		2015-04-10	male			9606	Homo sapiens	GSM1327358										
SAMN02641263	SRS557378			Macrophage					H3K27ac_Macrophage-oxLDL_249		2015-04-10	male			9606	Homo sapiens	GSM1327359										
SAMN02641264	SRS557376			Macrophage					H3K27ac_Macrophage-control_250		2015-04-10	male			9606	Homo sapiens	GSM1327357										
SAMN02641265	SRS557380			Macrophage					Input_control_DNA_macrophage		2015-04-10	male			9606	Homo sapiens	GSM1327361										
SAMN02641270	SRS557379			Macrophage					H3K27ac_Macrophage-oxLDL_251		2015-04-10	male			9606	Homo sapiens	GSM1327360										
SAMN03249355	SRS777551			macrophage					STS 6h		2015-10-17				9606	Homo sapiens	GSM1557606										
SAMN03249356	SRS777553			macrophage					Control		2015-10-16				9606	Homo sapiens	GSM1557608										
SAMN03249357	SRS777552			macrophage					STS 4h		2015-10-16				9606	Homo sapiens	GSM1557607										
SAMN03366090	SRS852816			Macrophage					C/EBP beta_Macrophage-control_201		2015-04-10				9606	Homo sapiens	GSM1616709										
SAMN03366091	SRS852815			Macrophage					C/EBP beta_Macrophage-control_204		2015-04-10				9606	Homo sapiens	GSM1616712										
SAMN03366092	SRS852812			Macrophage					C/EBP beta_Macrophage-oxLDL_205		2015-04-10				9606	Homo sapiens	GSM1616713										
SAMN03366093	SRS852813			Macrophage					C/EBP beta_Macrophage-control_203		2015-04-10				9606	Homo sapiens	GSM1616711										
SAMN03366094	SRS852814			Macrophage					C/EBP beta_Macrophage-control_202		2015-04-10				9606	Homo sapiens	GSM1616710										
SAMN03366096	SRS852809			Macrophage					C/EBP beta_Macrophage-oxLDL_207		2015-04-10				9606	Homo sapiens	GSM1616715										
SAMN03366097	SRS852810			Macrophage					C/EBP beta_Macrophage-oxLDL_208		2015-04-10				9606	Homo sapiens	GSM1616716										
SAMN03366098	SRS852811			Macrophage					C/EBP beta_Macrophage-oxLDL_206		2015-04-10				9606	Homo sapiens	GSM1616714										
SAMN03754534	SRS950527			macrophage					CTRL_1		2015-10-16				9606	Homo sapiens	GSM1701295										
SAMN03754535	SRS950526			macrophage					CTRL_2		2015-10-16				9606	Homo sapiens	GSM1701296										
SAMN03754536	SRS950525			macrophage					STS_4h_1		2015-10-16				9606	Homo sapiens	GSM1701297										
SAMN03754537	SRS950524			macrophage					STS_4h_2		2015-10-16				9606	Homo sapiens	GSM1701298										
SAMN03754538	SRS950523			macrophage					STS_6h_1		2015-10-16				9606	Homo sapiens	GSM1701299										
SAMN03754539	SRS950522			macrophage					STS_6h_2		2015-10-16				9606	Homo sapiens	GSM1701300										
SAMN03976119	SRS1027505			macrophage					HPGL0365		2016-02-03	male		macrophage	9606	Homo sapiens	HPGL0365										
SAMN03976120	SRS1027506			macrophage					HPGL0366		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0366										
SAMN03976121	SRS1027507			macrophage					HPGL0367		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0367										
SAMN03976122	SRS1027508			macrophage					HPGL0368		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0368										
SAMN03976123	SRS1027509			macrophage					HPGL0369		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0369										
SAMN03976124	SRS1027565			macrophage					HPGL0370		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0370										
SAMN03976125	SRS1027566			macrophage					HPGL0371		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0371										
SAMN03976126	SRS1027568			macrophage					HPGL0372		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0372										
SAMN03976127	SRS1027581			macrophage					HPGL0375		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0375										
SAMN03976128	SRS1027587			macrophage					HPGL0376		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0376										
SAMN03976129	SRS1027625			macrophage					HPGL0377		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0377										
SAMN03976130	SRS1027631			macrophage					HPGL0378		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0378										
SAMN03976131	SRS1027634			macrophage					HPGL0379		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0379										
SAMN03976132	SRS1027683			macrophage					HPGL0380		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0380										
SAMN03976133	SRS1027922			macrophage					HPGL0381		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0381										
SAMN03976134	SRS1027963			macrophage					HPGL0382		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0382										
SAMN03976135	SRS1027964			macrophage					HPGL0398		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0398										
SAMN03976136	SRS1027965			macrophage					HPGL0399		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0399										
