accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMEA2224112	ERS360461			monocyte					SAMPLE4_M2a MACROPHAGES		2013-11-01			9606	Homo sapiens	E-MTAB-1969:SAMPLE4_M2a MACROPHAGES										
SAMEA2224113	ERS360462			monocyte					SAMPLE2_MACROPHAGES		2013-11-01			9606	Homo sapiens	E-MTAB-1969:SAMPLE2_MACROPHAGES										
SAMEA2401040	ERS422904			monocyte					primary_monocyte_6		2014-04-25			9606	Homo sapiens	E-MTAB-2399:primary_monocyte_6										
SAMEA2401041	ERS422905			monocyte					primary_monocyte_1		2014-04-25			9606	Homo sapiens	E-MTAB-2399:primary_monocyte_1										
SAMEA2401042	ERS422906			monocyte					primary_monocyte_3		2014-04-25			9606	Homo sapiens	E-MTAB-2399:primary_monocyte_3										
SAMEA2401043	ERS422907			monocyte					primary_monocyte_5		2014-04-25			9606	Homo sapiens	E-MTAB-2399:primary_monocyte_5										
SAMEA2401044	ERS422908			monocyte					primary_monocyte_2		2014-04-25			9606	Homo sapiens	E-MTAB-2399:primary_monocyte_2										
SAMEA2401045	ERS422909			monocyte					primary_monocyte_8		2014-04-25			9606	Homo sapiens	E-MTAB-2399:primary_monocyte_8										
SAMEA2401046	ERS422910			monocyte					primary_monocyte_4		2014-04-25			9606	Homo sapiens	E-MTAB-2399:primary_monocyte_4										
SAMEA2401047	ERS422911			monocyte					primary_monocyte_7		2014-04-25			9606	Homo sapiens	E-MTAB-2399:primary_monocyte_7										
SAMEA4522056	ERS1421235		THP-1	monocyte					THP1 BR1 CTR+LPS_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR1 CTR+LPS_RNA										
SAMEA4522057	ERS1421236		THP-1	monocyte					THP1 BR1 CTR_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR1 CTR_RNA										
SAMEA4522058	ERS1421237		THP-1	monocyte					THP1 BR1 PMA+LPS_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR1 PMA+LPS_RNA										
SAMEA4522059	ERS1421238		THP-1	monocyte					THP1 BR1 PMA_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR1 PMA_RNA										
SAMEA4522060	ERS1421239		THP-1	monocyte					THP1 BR1 VD3+LPS_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR1 VD3+LPS_RNA										
SAMEA4522061	ERS1421240		THP-1	monocyte					THP1 BR1 VD3_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR1 VD3_RNA										
SAMEA4522062	ERS1421241		THP-1	monocyte					THP1 BR2 CTR+LPS_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR2 CTR+LPS_RNA										
SAMEA4522063	ERS1421242		THP-1	monocyte					THP1 BR2 CTR_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR2 CTR_RNA										
