accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMN05514066	SRS1603830			Monocyte					LPS_d6_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262996										
SAMN05514067	SRS1603829			Monocyte					BG_R_rep2_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262995										
SAMN05514068	SRS1603828			Monocyte					BG_d1_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262994										
SAMN05514069	SRS1603827			Monocyte					d0_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262993										
SAMN05514070	SRS1603826			Monocyte					RPMI_d7_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262992										
SAMN05514071	SRS1603820			Monocyte					LPS_R_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2262986										
SAMN05514072	SRS1603825			Monocyte					BG_d1_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262991										
SAMN05514073	SRS1603824			Monocyte					RPMI_d1_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262990										
SAMN05514074	SRS1603823			Monocyte					RPMI_4h_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262989										
SAMN05514075	SRS1603822			Monocyte					BG_d1_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262988										
SAMN05514076	SRS1603821			Monocyte					LPS_1h_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262987										
SAMN05514077	SRS1603819			Monocyte					don74_LPS_d6_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262985										
SAMN05514078	SRS1603818			Monocyte					RPMI_1h_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262984										
SAMN05514079	SRS1603760			Monocyte					don73_LPS_d6_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262928										
SAMN05514080	SRS1603762			Monocyte					BG_4h_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262927										
SAMN05514081	SRS1603873			Monocyte					BG_d1_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263039										
SAMN05514082	SRS1603872			Monocyte					LPS_4h_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263038										
SAMN05514083	SRS1603871			Monocyte					BG_d6_rep1_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2263037										
SAMN05514084	SRS1603870			Monocyte					d0_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263036										
SAMN05514085	SRS1603869			Monocyte					don73_LPS_d6_24hr_BG_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263035										
SAMN05514086	SRS1603868			Monocyte					BG_d6_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263034										
SAMN05514087	SRS1603867			Monocyte					RPMI_d6_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263033										
SAMN05514088	SRS1603866			Monocyte					don74_RPMI_d6_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263032										
SAMN05514089	SRS1603865			Monocyte					LPS_d6_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263031										
SAMN05514090	SRS1603864			Monocyte					BG_d6_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263030										
SAMN05514091	SRS1603863			Monocyte					BG_1h_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263029										
SAMN05514092	SRS1603862			Monocyte					BG_4h_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2263028										
SAMN05514093	SRS1603861			Monocyte					RPMI_d6_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263027										
SAMN05514094	SRS1603860			Monocyte					RPMI_1h_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263026										
SAMN05514095	SRS1603859			Monocyte					RPMI_d1_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263025										
SAMN05514096	SRS1603858			Monocyte					Mo_d0_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2263024										
SAMN05514097	SRS1603857			Monocyte					RPMI_4h_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263023										
SAMN05514098	SRS1603856			Monocyte					RPMI_d1_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2263022										
SAMN05514099	SRS1603855			Monocyte					LPS_1h_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263021										
SAMN05514100	SRS1603854			Monocyte					LPS_d1_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263020										
SAMN05514101	SRS1603853			Monocyte					RPMI_4h_rep1_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263019										
SAMN05514102	SRS1603852			Monocyte					LPS_1h_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263018										
SAMN05514103	SRS1603851			Monocyte					BG_4h_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2263017										
SAMN05514104	SRS1603850			Monocyte					RPMI_d1_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263016										
SAMN05514105	SRS1603849			Monocyte					RPMI_d6_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263015										
SAMN05514106	SRS1603848			Monocyte					LPS_4h_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2263014										
SAMN05514107	SRS1603887			Monocyte					LPS_d6_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263053										
SAMN05514108	SRS1603886			Monocyte					LPS_4h_rep2_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263052										
SAMN05514109	SRS1603885			Monocyte					LPS_d1_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263051										
SAMN05514110	SRS1603884			Monocyte					don73_LPS_d6_24hr_BG_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263050										
SAMN05514111	SRS1603883			Monocyte					LPS_4h_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263049										
SAMN05514112	SRS1603882			Monocyte					LPS_1h_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263048										
SAMN05514113	SRS1603881			Monocyte					BG_R_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2263047										
SAMN05514114	SRS1603880			Monocyte					LPS_d6_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263046										
SAMN05514115	SRS1603879			Monocyte					BG_4h_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2263045										
SAMN05514116	SRS1603878			Monocyte					RPMI_1h_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2263044										
SAMN05514117	SRS1603877			Monocyte					BG_d1_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2263043										
SAMN05514118	SRS1603876			Monocyte					RPMI_d6_H3K9me3		2016-11-19			9606	Homo sapiens	GSM2263042										
SAMN05514129	SRS1603817			Monocyte					don74_LPS_d6_24hr_BG_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262983										
SAMN05514130	SRS1603816			Monocyte					LPS_d7_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262982										
SAMN05514131	SRS1603815			Monocyte					don73_LPS_d6_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262981										
SAMN05514132	SRS1603814			Monocyte					BG_d6_rep1_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262980										
SAMN05514133	SRS1603813			Monocyte					RPMI_d7_rep1_H3K4me1		2016-11-19			9606	Homo sapiens	GSM2262979										
SAMN05514134	SRS1603807			Monocyte					RPMI_d1_rep2_H3K4me3		2016-11-19			9606	Homo sapiens	GSM2262973										
SAMN05514135	SRS1603812			Monocyte					RPMI_d1_H3K27me3		2016-11-19			9606	Homo sapiens	GSM2262978										
SAMN05514136	SRS1603811			Monocyte					RPMI_4h_rep2_H3K27ac		2016-11-19			9606	Homo sapiens	GSM2262977										
SAMN05772726	SRS1692028			Monocyte					H3K4me3_Fumarate_Mf		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310587										
SAMN05772727	SRS1692024			Monocyte					H3K27ac_BG_Mf		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310583										
SAMN05772728	SRS1692023			Monocyte					H3K27ac_RPMI_Mf		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310582										
SAMN05772729	SRS1692029			Monocyte					RPMI_Mf_RNA		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310588										
SAMN05772730	SRS1692031			Monocyte					Fumarate_Mf_RNA		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310590										
SAMN05772731	SRS1692030			Monocyte					BG_Mf_RNA		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310589										
SAMN05772732	SRS1692027			Monocyte					H3K4me3_BG_Mf		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310586										
SAMN05772733	SRS1692026			Monocyte					H3K4me3_RPMI_Mf		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310585										
SAMN05772734	SRS1692025			Monocyte					H3K27ac_Fumarate_Mf		2016-11-02		Adult Human Peripheral Blood	9606	Homo sapiens	GSM2310584										
SAMN05804954	SRS1709022			Monocyte					D3_RPMI_restim_don73_10846		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325669										
SAMN05804955	SRS1709021			Monocyte					D3_RPMI_don73_10839		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325668										
SAMN05804956	SRS1709016			Monocyte					D3_LPS_restim_don73_10847		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325667										
SAMN05804957	SRS1709017			Monocyte					D3_LPS_don73_10840		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325666										
SAMN05804958	SRS1709015			Monocyte					D3_BG_restim_don73_10848		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325665										
SAMN05804959	SRS1709018			Monocyte					D3_BG_don73_10841		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325664										
SAMN05804960	SRS1709025			Monocyte					D3_coIBET_LPS_don73_10843		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325674										
SAMN05804961	SRS1709024			Monocyte					D3_Rescue_RPMI_BGd2_restim_don73_10851		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325673										
SAMN05804962	SRS1709026			Monocyte					D3_coIBET_LPS_restim_don73_10850		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325675										
SAMN05804963	SRS1709028			Monocyte					D3_coIBET_RPMI_don73_10842		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325676										
SAMN05804964	SRS1709029			Monocyte					IBET_4h_LPS_don73_10838		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325678										
SAMN05804965	SRS1709027			Monocyte					D3_coIBET_RPMI_restim_don73_10849		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325677										
SAMN05804966	SRS1709023			Monocyte					D3_Rescue_RPMI_BGd2_don73_10844		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325672										
SAMN05804967	SRS1709020			Monocyte					D3_Rescue_LPS_BGd2_restim_don73_10852		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325671										
SAMN05804968	SRS1709019			Monocyte					D3_Rescue_LPS_BGd2_don73_10845		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325670										
SAMN05804986	SRS1709044			Monocyte					ATAC_RPMI_4h_8448		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325689										
SAMN05804987	SRS1709043			Monocyte					ATAC_RPMI_1h_8445		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325688										
SAMN05804988	SRS1709042			Monocyte					ATAC_Mono_8444		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325687										
SAMN05804989	SRS1709041			Monocyte					ATAC_LPS_d6_8455		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325686										
SAMN05804990	SRS1709040			Monocyte					ATAC_LPS_d1_8452		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325685										
SAMN05804991	SRS1709039			Monocyte					ATAC_LPS_4h_8449		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325684										
SAMN05804992	SRS1709038			Monocyte					ATAC_LPS_1h_8446		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325683										
SAMN05804993	SRS1709037			Monocyte					ATAC_BG_d6_8456		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325682										
SAMN05804994	SRS1709036			Monocyte					ATAC_BG_d1_8453		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325681										
SAMN05804995	SRS1709035			Monocyte					ATAC_BG_4h_8450		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325680										
SAMN05804996	SRS1709034			Monocyte					ATAC_BG_1h_8447		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325679										
SAMN05804997	SRS1709045			Monocyte					ATAC_RPMI_d1_8451		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325690										
SAMN05804998	SRS1709046			Monocyte					ATAC_RPMI_d6_8454		2016-11-19		Peripheral blood	9606	Homo sapiens	GSM2325691										
