Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.D3.A2J8.06A	0.0399232178208235	0.000816980642965346	0	0.291866131305976	0	0	0.167247544120467	0.0194995190558666	0.0260067099929222	0	0.0846102640655482	0	0.000311304118697594	0.071351280077495	0.134841030553854	0.141533179586428	0.0119689645957017	0	0.00605922383529799	0	0	0.00396465022795719	0	0.68734961305683	0.756802403117015
TCGA.EB.A550.01A	0	0.022564528686098	0.00594152219587881	0.111612675795405	0	0.141097552963936	0.0406678478408392	0.0518997244571277	0.0102997778531481	0	0.0251964224515623	0	0	0.33976668285748	0.0435367612458674	0.128604502742667	0.0199124679226848	0.0228179830205337	0.0210961555943427	0.00557523895733407	0	0.00941015541509417	0	0.480120127450502	0.876895504848669
TCGA.D9.A4Z6.06A	0.0459703862448162	0	0.00678418290583906	0.113440779198519	0	0.01692843591531	0.034444959677646	0.0534137622821427	0.00662681716234053	0	0.0324831721103367	0.0118830334102746	0	0.527912965010386	0.0311954380270689	0.0960324977334674	0	0	0	0.0128515428419052	0.0100320274799471	0	0	0.450617329477997	0.899732389619972
TCGA.HR.A2OG.06A	0.0106789202861732	0	0.128440677768026	0.10459733076316	0	0.11025676551515	0.054221571217853	0.0114755286121073	0.0274020621379879	0	0	0.0150119620090012	0.0280940232594879	0.235570374579015	0.0640527708446516	0.161397677897454	0.00419485881443561	0	0.0268223928208213	0.00937075322630519	0	0.00841233024837058	0	0.263898927455834	0.9784305437028
TCGA.GF.A2C7.01A	0.0162726333046191	0.0165879091231833	0	0.0331463881453507	0	0.0924049653514318	0.0621465310533514	0.0258646372217872	0.0102947214040175	0	0.0572193400171858	0	0	0.29351505722872	0.0147490970270562	0.279678048177408	0.0118371695128304	0.0176137264099725	0.0598934266538335	0	0	0.00877634936925256	0	0.448412832408544	0.893957412385801
TCGA.D3.A2JD.06A	0.290162839588605	0	0.061541411669873	0.155418595742017	0	0.00714774405720484	0.0119810244607944	0.0728775300070692	0.126600897380088	0	0	0.0336596537005467	0	0.121914811298892	0.0155636048075318	0.0862419061667124	0	0	0.0168899811206661	0	0	0	0	0.739872120394487	0.712586124140419
TCGA.D9.A4Z2.01A	0	0.0580550057435799	0.00708252842070819	0.0754620263473875	0	0.0221457936400906	0.0500776024908478	0.0284869236517736	0.0112699730080898	0.0170017109937492	0.0276017526973382	0	0.0303374956733852	0.313885225056103	0.0845684615298279	0.223893448220433	0.0142170462569777	0	0.0359150062697076	0	0	0	0	0.529987646510011	0.849756670685432
TCGA.DA.A95X.06A	0.0333018768573342	0	0.0084565821064059	0.152835644322401	0	0.180017977472584	0.023421248325508	0.0381218473383212	0.00894543916136408	0	0.00733275497197511	0.0037972888717406	0.055736960041724	0.146251829468158	0.0955936649625828	0.225707933367682	0.00321184870767442	0.000427251385747299	0.0168398526387969	0	0	0	0	0.598616305780439	0.816837320018465
TCGA.FS.A4F4.06A	0.0179230713952155	0	0.0020631790270986	0.246954847556903	0	0.0814431107918057	0.0171119071295118	0.0397750067713219	0.0347510010029672	0.00649735899579374	0	0.0179806217116227	0.00624629948168155	0.35757600388447	0.048100187545394	0.100069113699074	0.00119557957375914	0	0.0198279899056312	0	0.00146749969688084	0.00101722183086958	0	0.756971486824447	0.70223246045852
TCGA.WE.A8ZM.06A	0.0474263954495055	0.00464681227467773	0	0.0826174847586248	0.00116343339677555	0.0892550349188843	0.0336240845051188	0.0092344858822548	0	0	0.0799628403493453	0	0.0110573222436428	0.26114179278696	0.0226103086227448	0.209006034708594	0.0147116822139518	0.00656059739169719	0.113087375811695	0	0.00630161340019269	0.00759270128533546	0	0.30544224102145	0.959963722741474
TCGA.D3.A3BZ.06A	0.0911128988532095	0	0.060148546069872	0.244961556871879	0	0	0.0568114770314914	0.050641562997925	0.0343060279198129	0	0	0.0313709286050765	0.0154436435963946	0.171917287303979	0.0849051871117111	0.0995542646516319	0.0162536888569143	0	0.0425729301301029	0	0	0	0	0.596779215735444	0.819774510197186
TCGA.EE.A3JB.06A	0.0294442777319489	0	0.00240851150819605	0.054261522535079	0	0.153064167049329	0.00883895244258973	0.0141503619300389	0.018722531658528	0	0	0.0196804947118584	0.062034659848354	0.274505148794721	0.07069922437769	0.25290370311201	0.0136076340508178	0	0.0213093111761193	0.00436949907272049	0	0	0	0.750065809488657	0.719113709777812
